Aviso;Fecha;Ubicación técnica;Ce.coste;Equipo;IniAvería;FinAvería;HIniAver;HFinAver; DurParada;Un.;Cl.;Creado el;Autor aviso;Orden;Cierre;PerfCatál;IntRespEj;Ejecutante
10064626;02.01.2024;SPEQ-TEMA-T070;13263;12002198;02.01.2024;02.01.2024;17:00:00;17:45:00;0,75;H;A1;02.01.2024;EDWARS;100026071;23.01.2024;TRACTERM;10001385;47
10064627;03.01.2024;SPEQ-TEMA-RT27-TROL;13254;12004641;02.01.2024;02.01.2024;21:48:00;22:00:00;0,2;H;A1;03.01.2024;LUISM;;06.01.2024;GRURTG;10000481;47
10064628;03.01.2024;SPEQ-TEMA-GP12-HOIS;13222;12003665;03.01.2024;03.01.2024;1:53:00;1:59:00;0,1;H;A1;03.01.2024;LUISM;;06.01.2024;GRUSTS;222;47
10064629;03.01.2024;SPEQ-TEMA-RT33;13254;12002043;03.01.2024;03.01.2024;3:13:00;3:22:00;0,15;H;A1;03.01.2024;LUISM;;06.01.2024;GRURTG;10000481;47
10064630;03.01.2024;SPEQ-TEMA-RS13;13246;12002233;03.01.2024;03.01.2024;14:17:00;15:50:00;1,55;H;A1;03.01.2024;YANO;100026072;03.01.2024;REASTAKE;10000722;47
10064631;03.01.2024;SPEQ-TEMA-T087-MOT;13264;12003566;03.01.2024;03.01.2024;18:18:00;19:11:00;0,88;H;A1;03.01.2024;YANO;100026073;03.01.2024;M-DIES-T;10001807;47
10064632;03.01.2024;SPEQ-TEMA-T089;13264;12003384;03.01.2024;03.01.2024;17:45:00;18:16:00;0,52;H;A1;03.01.2024;YANO;100026074;03.01.2024;TRACTERM;10001807;47
10064633;03.01.2024;SPEQ-TEMA-T103;13264;12003398;03.01.2024;03.01.2024;17:52:00;18:21:00;0,48;H;A1;03.01.2024;YANO;;03.01.2024;TRACTERM;10001807;47
10064634;03.01.2024;SPEQ-TEMA-T068;13263;12002196;03.01.2024;03.01.2024;17:25:00;17:38:00;0,22;H;A1;03.01.2024;YANO;;03.01.2024;TRACTERM;10001114;47
10064635;03.01.2024;SPEQ-TEMA-T101-MOT;13264;12003568;03.01.2024;03.01.2024;17:48:00;18:08:00;0,33;H;A1;03.01.2024;YANO;;03.01.2024;M-DIES-T;10000398;47
10064636;03.01.2024;SPEQ-TEMA-RT31-SPRE;13254;12002975;03.01.2024;03.01.2024;15:47:00;16:10:00;0,38;H;A1;03.01.2024;YANO;100026075;03.01.2024;SPREADER;10000660;47
10064637;03.01.2024;SPEQ-TEMA-T059;13263;12002187;03.01.2024;03.01.2024;15:29:00;15:41:00;0,2;H;A1;03.01.2024;YANO;;03.01.2024;TRACTERM;10000660;47
10064638;03.01.2024;SPEQ-TEMA-T068-MOT;13263;12003535;03.01.2024;03.01.2024;17:25:00;17:35:00;0,17;H;A1;03.01.2024;YANO;;03.01.2024;M-DIES-T;10001807;47
10064639;03.01.2024;SPEQ-TEMA-T050-TRAN;13263;12002484;03.01.2024;03.01.2024;19:42:00;20:07:00;0,42;H;A1;03.01.2024;YANO;;03.01.2024;TTTRANS;10001807;47
10064640;04.01.2024;SPEQ-TEMA-T066;13263;12002194;04.01.2024;04.01.2024;0:20:00;1:00:00;0,67;H;A1;04.01.2024;EDWARS;;05.01.2024;TRACTERM;10000486;47
10064641;04.01.2024;SPEQ-TEMA-T080-MOT;13264;12003547;04.01.2024;04.01.2024;7:44:00;8:04:00;0,33;H;A1;04.01.2024;YANO;;04.01.2024;M-DIES-T;10001807;47
10064642;04.01.2024;SPEQ-TEMA-TL02-MOT;13294;12002265;04.01.2024;04.01.2024;9:13:00;9:48:00;0,58;H;A1;04.01.2024;YANO;100026076;30.01.2024;M-DIES-T;10000722;47
10064643;04.01.2024;SPEQ-TEMA-RT33-CAR;13254;12004743;04.01.2024;04.01.2024;6:29:00;6:39:00;0,17;H;A1;04.01.2024;YANO;;04.01.2024;GRURTG;10000398;47
10064644;04.01.2024;SPEQ-TEMA-T052-TRAN;13263;12003034;04.01.2024;04.01.2024;6:52:00;7:18:00;0,43;H;A1;04.01.2024;YANO;;04.01.2024;TTTRANS;10000472;47
10064645;04.01.2024;SPEQ-TEMA-T061;13263;12002189;04.01.2024;04.01.2024;10:39:02;11:07:00;0,47;H;A1;04.01.2024;YANO;100026077;30.01.2024;TRACTERM;10001807;47
10064646;04.01.2024;SPEQ-TEMA-RT35-HOIS;13254;12004617;04.01.2024;04.01.2024;14:00:00;16:27:47;2,46;H;A1;04.01.2024;DOUGLASB;100026080;11.01.2024;GRURTG;10000324;142
10064647;04.01.2024;SPEQ-TEMA-RT27-TROL;13254;12004641;04.01.2024;04.01.2024;15:46:51;15:53:00;0,1;H;A1;04.01.2024;DOUGLASB;;11.01.2024;GRURTG;10000774;142
10064648;04.01.2024;SPEQ-TEMA-TL09;13294;12003720;05.01.2024;05.01.2024;7:00:00;18:00:00;2;H;A1;04.01.2024;DOUGLASB;100026117;24.01.2024;TRULIFT;10000774;142
10064649;04.01.2024;SPEQ-TEMA-RT26-TROL;13254;12004640;04.01.2024;04.01.2024;20:01:18;20:09:00;0,13;H;A1;04.01.2024;DOUGLASB;;11.01.2024;GRURTG;10000774;142
10064650;05.01.2024;SPEQ-TEMA-RS07;13245;12002227;04.01.2024;05.01.2024;23:30:00;1:00:00;1,5;H;A1;05.01.2024;EDWARS;100026081;23.01.2024;REASTAKE;10001385;47
10064651;05.01.2024;SPEQ-TEMA-TL01;13294;12002211;05.01.2024;05.01.2024;12:10:00;13:31:00;1,35;H;A1;05.01.2024;YANO;100026082;05.01.2024;TRULIFT;10001114;47
10064652;05.01.2024;SPEQ-TEMA-RT42-CAR;13255;12004751;05.01.2024;05.01.2024;13:11:00;13:16:00;0,08;H;A1;05.01.2024;YANO;;05.01.2024;GRURTG;10000398;47
10064653;05.01.2024;SPEQ-TEMA-RT41-CAR;13255;12004750;05.01.2024;05.01.2024;12:16:00;12:25:00;0,15;H;A1;05.01.2024;YANO;;05.01.2024;GRURTG;10000660;47
10064654;05.01.2024;SPEQ-TEMA-RT30;13254;12002040;05.01.2024;05.01.2024;9:40:00;9:46:00;0,1;H;A1;05.01.2024;YANO;;05.01.2024;GRURTG;10000660;47
10064655;05.01.2024;SPEQ-TEMA-RS15;13246;12002235;05.01.2024;05.01.2024;13:04:00;13:45:00;0,68;H;A1;05.01.2024;YANO;;05.01.2024;REASTAKE;10001114;47
10064656;05.01.2024;SPEQ-TEMA-TL04;13294;12002214;05.01.2024;05.01.2024;14:50:00;17:40:00;2,83;H;A1;05.01.2024;LUISM;100026086;22.01.2024;TRULIFT;10001582;47
10064657;05.01.2024;SPEQ-TEMA-TL01;13294;12002211;05.01.2024;06.01.2024;16:20:00;12:00:00;19,67;H;A1;05.01.2024;LUISM;100026087;22.01.2024;TRULIFT;10000722;47
10064658;05.01.2024;SPEQ-TEMA-T093;13264;12003388;05.01.2024;05.01.2024;17:15:00;17:35:00;0,33;H;A1;05.01.2024;LUISM;100026088;22.01.2024;TRACTERM;10001582;47
10064659;05.01.2024;SPEQ-TEMA-RT42-GANT;13255;12004687;05.01.2024;05.01.2024;14:26:00;14:30:00;0,07;H;A1;05.01.2024;LUISM;;22.01.2024;GRURTG;10000481;47
10064660;05.01.2024;SPEQ-TEMA-T084;13264;12003379;05.01.2024;05.01.2024;15:00:00;15:15:00;0,25;H;A1;05.01.2024;LUISM;;22.01.2024;TRACTERM;10001582;47
10064661;05.01.2024;SPEQ-TEMA-RT25-UNPO;13254;12003008;05.01.2024;05.01.2024;17:31:00;17:35:00;0,07;H;A1;05.01.2024;LUISM;;22.01.2024;MOTODIES;222;47
10064662;06.01.2024;SPEQ-TEMA-RT33;13254;12002043;06.01.2024;06.01.2024;0:05:20;0:15:00;0,16;H;A1;06.01.2024;DOUGLASB;;11.01.2024;GRURTG;10001467;142
10064663;06.01.2024;SPEQ-TEMA-RT28-SKEW;13254;12004770;06.01.2024;06.01.2024;0:40:49;0:58:00;0,29;H;A1;06.01.2024;DOUGLASB;;11.01.2024;GRURTG;10000774;142
10064664;06.01.2024;SPEQ-TEMA-RT36-HOIS;13254;12004618;06.01.2024;06.01.2024;0:01:52;0:10:00;0,14;H;A1;06.01.2024;DOUGLASB;;11.01.2024;GRURTG;10001467;142
10064665;06.01.2024;SPEQ-TEMA-TL07;13294;12002217;06.01.2024;06.01.2024;8:00:00;9:00:00;1;H;A1;06.01.2024;LUISM;100026089;22.01.2024;TRULIFT;10000177;47
10064666;06.01.2024;SPEQ-TEMA-RS03;13245;12002223;06.01.2024;06.01.2024;9:00:00;10:00:00;1;H;A1;06.01.2024;LUISM;100026090;22.01.2024;REASTAKE;10001582;47
10064667;06.01.2024;SPEQ-TEMA-TL06;13294;12002216;06.01.2024;06.01.2024;6:30:00;6:45:00;0,25;H;A1;06.01.2024;LUISM;;22.01.2024;TRULIFT;10001582;47
10064668;06.01.2024;SPEQ-TEMA-T100;13264;12003395;06.01.2024;06.01.2024;7:35:00;7:40:00;0,08;H;A1;06.01.2024;LUISM;;22.01.2024;TRACTERM;10001582;47
